scorer,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000,DeepCut_resnet50_eyes_onlyJan25shuffle1_350000
bodyparts,left-eye-outer,left-eye-outer,left-eye-outer,left-eye-inner,left-eye-inner,left-eye-inner,right-eye-outer,right-eye-outer,right-eye-outer,right-eye-inner,right-eye-inner,right-eye-inner
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,270.90454840660095,62.36982250213623,1.0,245.953519821167,52.291152000427246,1.0,58.769526958465576,64.17470741271973,1.0,77.41449642181396,50.164015769958496,1.0
33,271.3582544326782,61.09339427947998,1.0,245.43940675258636,51.780457496643066,1.0,57.84485840797424,63.74681568145752,1.0,77.24308967590332,49.802205085754395,1.0
34,271.5000698566437,61.08339500427246,1.0,244.96216863393784,52.2879695892334,1.0,58.13275218009949,64.26138305664062,1.0,78.08704280853271,50.21295118331909,1.0
35,271.5161738395691,59.974841594696045,1.0,246.01733946800232,51.2305850982666,1.0,58.502020955085754,64.63847160339355,1.0,78.11291790008545,50.28208684921265,1.0
36,272.99589824676514,59.09392833709717,1.0,245.46368610858917,51.100765228271484,1.0,58.577595472335815,64.5993070602417,1.0,78.42365264892578,51.07971811294556,1.0
37,271.9881889820099,60.013638496398926,1.0,246.18464303016663,51.592838764190674,1.0,57.599406003952026,64.00543689727783,1.0,77.5623369216919,50.06406354904175,1.0
38,271.57284116744995,60.85417175292969,1.0,245.95976662635803,51.77406930923462,1.0,58.49772810935974,64.54939556121826,1.0,77.66433811187744,50.42178153991699,1.0
39,272.3284935951233,59.21393013000488,1.0,245.6372069120407,51.38962745666504,1.0,58.59560298919678,64.19298553466797,1.0,77.71552467346191,49.271843910217285,1.0
40,271.9970006942749,60.39342403411865,1.0,246.4352605342865,51.094268798828125,1.0,58.69678771495819,64.7361831665039,1.0,77.2301197052002,49.879029750823975,1.0
41,271.5910003185272,60.70048904418945,1.0,245.60634469985962,51.415504455566406,1.0,58.665274143218994,64.56697463989258,1.0,77.6110725402832,50.820483684539795,1.0
42,271.8839030265808,60.176801681518555,1.0,246.79513549804688,51.17778158187866,1.0,58.44402837753296,63.71577453613281,1.0,76.90040397644043,49.988388538360596,1.0
43,272.22027492523193,60.98232173919678,1.0,245.61596703529358,51.5410943031311,1.0,58.82317018508911,63.03843593597412,1.0,77.29622554779053,50.005818367004395,1.0
44,271.32088589668274,61.35628318786621,1.0,245.92908489704132,51.71376657485962,1.0,58.755619049072266,63.256340980529785,1.0,76.9279956817627,50.06834554672241,1.0
45,270.59550976753235,61.56356906890869,1.0,246.50270462036133,52.3812198638916,1.0,59.14389419555664,64.23272895812988,1.0,76.92521572113037,50.23880434036255,1.0
46,270.99271273612976,61.80699634552002,1.0,245.617409825325,52.42895221710205,1.0,58.08628571033478,63.743431091308594,1.0,77.23059272766113,50.14111852645874,1.0
47,271.4706230163574,61.525574684143066,1.0,245.6977252960205,52.31057548522949,1.0,58.61697721481323,63.69993782043457,1.0,77.27711009979248,50.18107843399048,1.0
48,271.09677743911743,61.45900344848633,1.0,245.81649732589722,51.53391790390015,1.0,58.867687702178955,63.335771560668945,1.0,77.31698322296143,51.18181896209717,1.0
49,271.006325006485,60.80562400817871,1.0,245.4553062915802,51.68240022659302,1.0,58.76285147666931,64.51697731018066,1.0,77.02083110809326,51.14990711212158,1.0
50,270.82174134254456,61.07466697692871,1.0,245.7793151140213,51.25009822845459,1.0,58.845362067222595,64.99202632904053,1.0,76.7283763885498,51.11342668533325,1.0
51,271.14191246032715,61.46940040588379,1.0,245.4311374425888,51.40312957763672,1.0,58.96026623249054,64.54377746582031,1.0,76.84270763397217,51.486963748931885,1.0
52,271.25013613700867,61.18200874328613,1.0,246.26069378852844,51.73728704452515,1.0,58.60640335083008,63.539039611816406,1.0,77.3558988571167,50.42511463165283,1.0
53,271.71446990966797,60.39387035369873,1.0,246.05273532867432,50.91842269897461,1.0,58.335904598236084,64.14927673339844,1.0,76.82441329956055,50.95884990692139,1.0
54,271.1483042240143,61.859517097473145,1.0,245.98651087284088,51.94841527938843,1.0,58.47663223743439,64.17769050598145,1.0,76.60098934173584,50.89090824127197,1.0
55,271.83973264694214,61.58559703826904,1.0,246.36055517196655,51.49357748031616,1.0,59.288984298706055,63.12005805969238,1.0,76.64718818664551,50.45746946334839,1.0
56,271.0609817504883,61.06382751464844,1.0,246.16256284713745,51.384785175323486,1.0,58.49862098693848,64.51688861846924,1.0,76.6030626296997,50.85129976272583,1.0
57,271.3858127593994,60.78513050079346,1.0,246.0194365978241,51.82663106918335,1.0,58.79023265838623,64.04760646820068,1.0,76.63146114349365,50.853522300720215,1.0
58,271.1872465610504,61.431535720825195,1.0,246.45924019813538,51.80251169204712,1.0,59.356189250946045,63.397828102111816,1.0,77.08597087860107,50.55049800872803,1.0
59,271.183212518692,61.10889911651611,1.0,245.95114362239838,51.52497911453247,1.0,58.72975707054138,64.51017665863037,1.0,77.46195983886719,50.78091335296631,1.0
60,271.0173501968384,60.75666046142578,1.0,245.9725239276886,51.25913763046265,1.0,58.83864116668701,63.395334243774414,1.0,76.4447374343872,50.43399143218994,1.0
61,270.48031640052795,60.87114238739014,1.0,245.88844168186188,51.13112211227417,1.0,59.07557964324951,63.61028480529785,1.0,77.19517803192139,50.167715549468994,1.0
62,270.7591390609741,61.59677314758301,1.0,245.19775211811066,51.2653751373291,1.0,58.35494911670685,64.39665126800537,1.0,75.80933475494385,51.40375375747681,1.0
63,271.33743143081665,61.70667552947998,1.0,246.4508092403412,51.70858716964722,1.0,58.5611355304718,64.43666076660156,1.0,76.99835109710693,49.99550771713257,1.0
64,270.9141266345978,61.88153076171875,1.0,245.60465919971466,51.85363435745239,1.0,58.42803716659546,63.92936038970947,1.0,76.96011161804199,51.21940612792969,1.0
65,271.1170482635498,61.10391426086426,1.0,246.05166006088257,51.76842737197876,1.0,58.520851492881775,63.57151794433594,1.0,76.6986083984375,50.61805868148804,1.0
66,270.6095130443573,60.85958003997803,1.0,245.1214381456375,51.686272621154785,1.0,58.864110350608826,64.05224609375,1.0,76.75074481964111,50.481316566467285,1.0
67,271.32806396484375,61.26267719268799,1.0,245.67815053462982,51.71103858947754,1.0,58.53519582748413,64.25150871276855,1.0,76.40036869049072,51.022350788116455,1.0
68,271.42167568206787,59.35787105560303,1.0,245.83988654613495,51.14611005783081,1.0,58.85534477233887,63.32212257385254,1.0,76.96626377105713,50.63802146911621,1.0
69,270.70786142349243,61.57119083404541,1.0,245.45862102508545,51.59267282485962,1.0,58.64431929588318,62.93040657043457,1.0,77.46182537078857,50.78485918045044,1.0
70,271.63852095603943,60.745826721191406,1.0,246.18061351776123,51.68220090866089,1.0,58.43806743621826,63.43476963043213,1.0,76.37352085113525,50.402621269226074,1.0
71,271.4066734313965,60.917277336120605,1.0,245.91651225090027,51.12702512741089,1.0,58.12501573562622,63.82570552825928,1.0,76.20584106445312,50.90157127380371,1.0
72,271.0880641937256,60.55625343322754,1.0,246.16063785552979,51.09553050994873,1.0,58.633872509002686,64.66869068145752,1.0,76.42996406555176,50.456504344940186,1.0
73,270.7712082862854,61.37673568725586,1.0,245.7981287240982,51.102078437805176,1.0,57.7514808177948,63.7562255859375,1.0,76.537278175354,50.60156297683716,1.0
74,271.1278007030487,60.960137367248535,1.0,246.30284023284912,51.24772882461548,1.0,59.35761070251465,63.423991203308105,1.0,76.38924789428711,49.95857572555542,1.0
75,271.1819739341736,61.24571895599365,1.0,245.28054475784302,52.035593032836914,1.0,58.26503348350525,64.1851634979248,1.0,76.36062526702881,50.50005531311035,1.0
76,270.8568139076233,62.098527908325195,1.0,245.8552874326706,51.913636207580566,1.0,59.21973180770874,64.27865695953369,1.0,76.01445198059082,49.588125705718994,1.0
77,270.8472502231598,61.839500427246094,1.0,246.00045251846313,51.304402351379395,1.0,58.356472969055176,63.36058712005615,1.0,76.79081916809082,49.5753698348999,1.0
78,270.6281635761261,61.30908489227295,1.0,245.3121211528778,51.129104137420654,1.0,58.83834505081177,63.85686683654785,1.0,76.63071346282959,49.811866760253906,1.0
79,271.40512585639954,60.649102210998535,1.0,246.66059613227844,51.15163469314575,1.0,58.614779114723206,64.26502227783203,1.0,77.56405448913574,49.99007558822632,1.0
80,270.9014890193939,61.18537998199463,1.0,245.26945042610168,51.99299383163452,1.0,58.4238942861557,63.54151248931885,1.0,77.03623962402344,49.79137659072876,1.0
81,270.6569130420685,60.446364402770996,1.0,245.66222023963928,51.43712520599365,1.0,58.187830090522766,64.18179893493652,1.0,76.84023475646973,49.96055269241333,1.0
82,270.44860434532166,61.49565124511719,1.0,245.3271678686142,51.99595308303833,1.0,58.71611452102661,63.96650218963623,1.0,76.8120470046997,49.96778631210327,1.0
83,270.2305998802185,61.77823829650879,1.0,245.53479278087616,52.15101623535156,1.0,59.130431175231934,64.0405626296997,1.0,77.7493953704834,49.8633975982666,1.0
84,270.20243668556213,60.58723545074463,1.0,244.53181689977646,51.904369831085205,1.0,58.55561590194702,63.712982177734375,1.0,77.71187114715576,49.84535598754883,1.0
85,272.0197968482971,60.180564880371094,1.0,245.93404257297516,51.40675973892212,1.0,58.16392374038696,63.92791175842285,1.0,76.32040977478027,50.54182767868042,1.0
86,271.1095769405365,60.30656623840332,1.0,246.82087349891663,51.087440967559814,1.0,57.37103843688965,63.22429275512695,1.0,77.02848720550537,50.142659187316895,1.0
87,270.8211488723755,62.02688407897949,1.0,245.12657845020294,51.73383045196533,1.0,58.83154249191284,64.44481468200684,1.0,77.1084337234497,50.37913370132446,1.0
88,271.33821082115173,60.854783058166504,1.0,245.5220000743866,52.37100028991699,1.0,58.17402124404907,63.5105037689209,1.0,76.82683181762695,49.57231140136719,1.0
89,271.8691077232361,60.09756088256836,1.0,245.96243047714233,51.819091796875,1.0,58.364527225494385,63.45568561553955,1.0,77.33561611175537,49.2992148399353,1.0
90,270.7580041885376,61.4996452331543,1.0,246.5383279323578,51.762558937072754,1.0,57.780527114868164,63.18113613128662,1.0,77.14048671722412,50.27847099304199,1.0
91,272.3371329307556,60.24104404449463,1.0,245.78181743621826,51.6038613319397,1.0,57.85571527481079,63.484171867370605,1.0,77.79401969909668,49.65951871871948,1.0
92,272.2496528625488,60.01635551452637,1.0,246.1740231513977,51.81432819366455,1.0,59.720670223236084,64.37740516662598,1.0,77.69993305206299,49.94531011581421,1.0
93,271.2463426589966,60.42258262634277,1.0,244.82395482063293,51.62707710266113,1.0,58.55223989486694,63.93388271331787,1.0,76.12280401587486,48.512935638427734,1.0
94,272.29914474487305,60.28234386444092,1.0,246.18371081352234,51.0148344039917,1.0,58.554975152015686,63.46438503265381,1.0,77.09989356994629,50.378992557525635,1.0
95,271.9050660133362,60.671804428100586,1.0,245.5230016708374,51.67202615737915,1.0,58.62824773788452,63.25075721740723,1.0,77.77030277252197,49.87952709197998,1.0
96,270.7201683521271,61.59565353393555,1.0,245.90977466106415,51.28170871734619,1.0,57.65037393569946,63.44572448730469,1.0,77.98783779144287,50.39630842208862,1.0
97,271.98009181022644,60.685378074645996,1.0,245.9688915014267,51.834636211395264,1.0,58.47198188304901,63.18982219696045,1.0,77.9895658493042,50.35426950454712,1.0
98,271.27023696899414,60.598631858825684,1.0,245.78950464725494,50.64788055419922,1.0,58.3038774728775,63.6198844909668,1.0,78.19633960723877,50.035165309906006,1.0
99,271.99921584129333,60.49370098114014,1.0,245.91336345672607,51.91564893722534,1.0,58.676573038101196,63.631736755371094,1.0,77.34232711791992,49.805004596710205,1.0
100,271.8821647167206,60.36376094818115,1.0,245.82563829421997,51.031432151794434,1.0,59.03894251585007,64.09940147399902,1.0,77.60738182067871,50.657729625701904,1.0
101,271.18469882011414,61.41097354888916,1.0,245.76626980304718,51.62905168533325,1.0,58.45729398727417,64.80030727386475,1.0,77.08218288421631,51.24896240234375,1.0
102,270.9435410499573,61.47509765625,1.0,246.46735525131226,51.07516860961914,1.0,58.76417529582977,64.68667030334473,1.0,77.70855617523193,51.22730779647827,1.0
103,270.03874707221985,61.76428508758545,1.0,246.01735520362854,51.693053245544434,1.0,58.29879665374756,64.49836349487305,1.0,78.66636180877686,50.68982648849487,1.0
104,271.4860486984253,60.98744297027588,1.0,245.83257508277893,51.73687982559204,1.0,58.47650897502899,63.88232707977295,1.0,77.30950546264648,50.41164588928223,1.0
105,272.169903755188,61.27507305145264,1.0,246.43600749969482,51.84271430969238,1.0,58.086538434028625,63.77187538146973,1.0,78.16073322296143,50.27218723297119,1.0
106,271.80580472946167,61.12023067474365,1.0,246.0130717754364,52.13985633850098,1.0,57.98136067390442,64.3065767288208,1.0,77.60975456237793,50.458606243133545,1.0
107,272.22469186782837,60.02020072937012,1.0,246.0144453048706,51.351929664611816,1.0,59.22970098257065,65.2787733078003,1.0,78.25987434387207,50.56492233276367,1.0
108,271.7144968509674,60.50526428222656,1.0,247.58738660812378,51.54313135147095,1.0,58.105090856552124,63.63808250427246,1.0,77.21773624420166,50.06099462509155,1.0
109,270.6681110858917,61.69545936584473,1.0,245.8725380897522,51.83641338348389,1.0,57.97996187210083,63.97668266296387,1.0,78.5913143157959,50.41323137283325,1.0
110,270.8949944972992,60.8011531829834,1.0,245.7164924144745,51.86506509780884,1.0,58.35793101787567,64.17368984222412,1.0,76.95956611633301,50.28673791885376,1.0
111,270.77289724349976,61.580453872680664,1.0,245.48886597156525,52.49318218231201,1.0,59.08974301815033,65.23418521881104,1.0,77.6547794342041,51.142181396484375,1.0
112,270.5677309036255,61.673922538757324,1.0,245.77378630638123,52.12019348144531,1.0,58.88936769962311,64.68701648712158,1.0,77.31652355194092,51.021488666534424,1.0
113,271.0631799697876,61.30499839782715,1.0,246.2935917377472,51.986680030822754,1.0,58.699811816215515,64.50497817993164,1.0,77.82893085479736,50.0436224937439,1.0
114,270.03532791137695,62.26494216918945,1.0,245.54581499099731,51.4783673286438,1.0,59.14778572320938,64.19825553894043,1.0,78.43690204620361,50.157248973846436,1.0
115,271.1994197368622,61.79726696014404,1.0,245.4051251411438,51.63795757293701,1.0,59.04820382595062,63.962401390075684,1.0,78.46198463439941,50.13508605957031,1.0
116,270.55461144447327,61.79115104675293,1.0,245.7632361650467,51.66208553314209,1.0,58.80899655818939,63.97261619567871,1.0,78.05578708648682,49.99109983444214,1.0
117,270.24911737442017,62.255921363830566,1.0,247.14957237243652,52.01411247253418,1.0,58.73231053352356,64.59993267059326,1.0,77.86830425262451,50.687143325805664,1.0
118,270.24413561820984,61.998066902160645,1.0,246.51326775550842,52.06613636016846,1.0,58.82546520233154,64.92207431793213,1.0,77.21729183197021,50.49748706817627,1.0
119,270.86486434936523,61.67733669281006,1.0,245.51021683216095,52.44404220581055,1.0,58.548319935798645,64.35887813568115,1.0,77.52963352203369,50.17298126220703,1.0
120,270.1513137817383,63.00114727020264,1.0,246.02236700057983,51.98353672027588,1.0,58.142250418663025,64.44313335418701,1.0,77.54030227661133,50.63522958755493,1.0
121,270.7399215698242,62.32383346557617,1.0,245.66723036766052,51.90408372879028,1.0,58.78457951545715,64.39147663116455,1.0,77.40917205810547,50.799681663513184,1.0
122,270.3904457092285,61.6709508895874,1.0,247.54040431976318,51.400901794433594,1.0,59.04685300588608,64.27495574951172,1.0,77.58759593963623,50.50928020477295,1.0
123,270.2629642486572,61.716368675231934,1.0,246.06528973579407,51.94516897201538,1.0,57.741389989852905,64.01321697235107,1.0,77.8179578781128,50.22304439544678,1.0
124,271.16389298439026,61.45050621032715,1.0,246.87119603157043,51.334601402282715,1.0,57.88438320159912,63.604498863220215,1.0,76.82462882995605,50.138853549957275,1.0
125,270.8343074321747,60.97680854797363,1.0,246.29875254631042,52.00687026977539,1.0,58.44916009902954,63.9018669128418,1.0,76.40860939025879,50.033225536346436,1.0
126,271.4206566810608,60.99088191986084,1.0,246.48326349258423,51.593563079833984,1.0,58.226296067237854,63.78493595123291,1.0,77.29427814483643,50.430994510650635,1.0
127,271.371604681015,60.95913791656494,1.0,246.771160364151,51.30860376358032,1.0,58.40818750858307,63.338303565979004,1.0,76.97025394439697,50.17920970916748,1.0
128,270.9565978050232,61.97224044799805,1.0,246.61206436157227,51.256187915802,1.0,58.46769666671753,63.53470516204834,1.0,75.78606013953686,49.27239990234375,1.0
129,270.94595980644226,62.08707332611084,1.0,246.11323356628418,51.91323757171631,1.0,57.416823625564575,63.46101760864258,1.0,75.98369550704956,50.79842805862427,1.0
130,270.6317434310913,61.156723976135254,1.0,246.3574092388153,51.013622760772705,1.0,58.21053326129913,64.14819717407227,1.0,75.84220886230469,51.382033824920654,1.0
131,270.8304238319397,61.680813789367676,1.0,246.50312328338623,51.924935817718506,1.0,58.170761585235596,63.80739974975586,1.0,76.7921085357666,51.12660217285156,1.0
132,271.5216269493103,60.03805732727051,1.0,246.5134253501892,52.093533515930176,1.0,58.93438243865967,63.31742000579834,1.0,75.48523473739624,50.576406955718994,1.0
133,271.3366057872772,60.38744640350342,1.0,245.18998289108276,51.65161943435669,1.0,58.65912318229675,64.13558959960938,1.0,76.54961967468262,50.95569038391113,1.0
134,271.5160093307495,60.296064376831055,1.0,246.7077281475067,51.76112604141235,1.0,59.40492802858353,64.5232400894165,1.0,76.17878150939941,51.97762584686279,1.0
135,271.29374623298645,61.29915237426758,1.0,246.1942548751831,52.246110916137695,1.0,58.82554852962494,65.14213466644287,1.0,75.95987701416016,51.798884868621826,1.0
136,271.6749198436737,60.51555252075195,1.0,246.34643173217773,51.17688846588135,1.0,59.252798676490784,64.40636539459229,1.0,76.00209522247314,51.87734937667847,1.0
137,271.566837310791,59.82493591308594,1.0,245.72622215747833,51.23591661453247,1.0,58.73075008392334,63.991976737976074,1.0,76.08409309387207,51.5346565246582,1.0
138,270.9838492870331,60.68808174133301,1.0,244.87091886997223,51.13133907318115,1.0,58.15327608585358,64.4471492767334,1.0,76.60922431945801,51.22914409637451,1.0
139,271.1731300354004,60.362117767333984,1.0,246.13569498062134,51.313992977142334,1.0,58.93157088756561,64.7074785232544,1.0,76.34943199157715,51.17036437988281,1.0
140,271.488552570343,60.72403526306152,1.0,245.5034145116806,51.447372913360596,1.0,58.28921389579773,64.256760597229,1.0,76.93562984466553,50.6609673500061,1.0
141,271.08797454833984,61.263349533081055,1.0,245.73140621185303,51.15288543701172,1.0,58.399200201034546,63.97425842285156,1.0,77.12418460845947,50.44972848892212,1.0
142,271.5758981704712,60.09486961364746,1.0,245.49575686454773,51.36056137084961,1.0,58.54067623615265,64.3481388092041,1.0,76.21764278411865,51.15724229812622,1.0
143,271.1076250076294,60.6215934753418,1.0,245.60844933986664,50.71107578277588,1.0,58.31067168712616,63.924739837646484,1.0,77.10826396942139,51.2572226524353,1.0
144,270.93881583213806,59.899234771728516,1.0,245.69467449188232,50.64996147155762,1.0,58.77397668361664,64.60562133789062,1.0,77.30368328094482,51.26634407043457,1.0
145,270.9583969116211,60.80715370178223,1.0,246.68363571166992,51.39970064163208,1.0,59.014008581638336,65.2303524017334,1.0,76.0589427947998,51.31908988952637,1.0
146,270.81515526771545,61.11160087585449,1.0,246.36800599098206,51.25959491729736,1.0,58.353381276130676,64.88808155059814,1.0,76.75490188598633,51.624882221221924,1.0
147,271.23469066619873,60.8893404006958,1.0,246.31342697143555,50.70814371109009,1.0,58.119038820266724,64.90445041656494,1.0,77.04140949249268,51.550654888153076,1.0
148,270.926965713501,60.76586723327637,1.0,245.67784893512726,51.46420335769653,1.0,58.1083447933197,64.60074424743652,1.0,76.02491092681885,52.22601795196533,1.0
149,271.1333785057068,60.805460929870605,1.0,245.93800520896912,51.04308319091797,1.0,58.852646470069885,64.6212272644043,1.0,75.82788324356079,50.86521577835083,1.0
150,271.7997028827667,60.36645984649658,1.0,246.2929196357727,50.56746816635132,1.0,58.88740515708923,64.53558540344238,1.0,76.19619178771973,51.45914125442505,1.0
151,272.9062604904175,59.9803032875061,1.0,245.88280868530273,51.17102003097534,1.0,58.57013177871704,64.26372337341309,1.0,75.01172018051147,51.861084938049316,1.0
