1000, 0.02728, 0.005
2000, 0.01290, 0.005
3000, 0.01116, 0.005
4000, 0.01021, 0.005
5000, 0.00944, 0.005
6000, 0.00902, 0.005
7000, 0.00867, 0.005
8000, 0.00838, 0.005
9000, 0.00814, 0.005
10000, 0.00800, 0.005
11000, 0.01247, 0.02
12000, 0.01043, 0.02
13000, 0.00966, 0.02
14000, 0.00922, 0.02
15000, 0.00873, 0.02
16000, 0.00819, 0.02
17000, 0.00781, 0.02
18000, 0.00753, 0.02
19000, 0.00720, 0.02
20000, 0.00734, 0.02
21000, 0.00699, 0.02
22000, 0.00676, 0.02
23000, 0.00674, 0.02
24000, 0.00652, 0.02
25000, 0.00632, 0.02
26000, 0.00644, 0.02
27000, 0.00607, 0.02
28000, 0.00619, 0.02
29000, 0.00581, 0.02
30000, 0.00594, 0.02
31000, 0.00607, 0.02
32000, 0.00606, 0.02
33000, 0.00584, 0.02
34000, 0.00573, 0.02
35000, 0.00558, 0.02
36000, 0.00566, 0.02
37000, 0.00568, 0.02
38000, 0.00567, 0.02
39000, 0.00534, 0.02
40000, 0.00532, 0.02
41000, 0.00540, 0.02
42000, 0.00523, 0.02
43000, 0.00529, 0.02
44000, 0.00523, 0.02
45000, 0.00520, 0.02
46000, 0.00501, 0.02
47000, 0.00500, 0.02
48000, 0.00493, 0.02
49000, 0.00490, 0.02
50000, 0.00498, 0.02
51000, 0.00498, 0.02
52000, 0.00489, 0.02
53000, 0.00483, 0.02
54000, 0.00481, 0.02
55000, 0.00475, 0.02
56000, 0.00470, 0.02
57000, 0.00472, 0.02
58000, 0.00466, 0.02
59000, 0.00465, 0.02
60000, 0.00457, 0.02
61000, 0.00466, 0.02
62000, 0.00461, 0.02
63000, 0.00446, 0.02
64000, 0.00446, 0.02
65000, 0.00439, 0.02
66000, 0.00455, 0.02
67000, 0.00455, 0.02
68000, 0.00435, 0.02
69000, 0.00442, 0.02
70000, 0.00418, 0.02
71000, 0.00420, 0.02
72000, 0.00440, 0.02
73000, 0.00420, 0.02
74000, 0.00426, 0.02
75000, 0.00411, 0.02
76000, 0.00419, 0.02
77000, 0.00420, 0.02
78000, 0.00422, 0.02
79000, 0.00437, 0.02
80000, 0.00419, 0.02
81000, 0.00411, 0.02
82000, 0.00397, 0.02
83000, 0.00404, 0.02
84000, 0.00393, 0.02
85000, 0.00403, 0.02
86000, 0.00395, 0.02
87000, 0.00403, 0.02
88000, 0.00388, 0.02
89000, 0.00396, 0.02
90000, 0.00391, 0.02
91000, 0.00383, 0.02
92000, 0.00391, 0.02
93000, 0.00422, 0.02
94000, 0.00388, 0.02
95000, 0.00382, 0.02
96000, 0.00382, 0.02
97000, 0.00382, 0.02
98000, 0.00381, 0.02
99000, 0.00386, 0.02
100000, 0.00378, 0.02
101000, 0.00373, 0.02
102000, 0.00375, 0.02
103000, 0.00368, 0.02
104000, 0.00358, 0.02
105000, 0.00365, 0.02
106000, 0.00373, 0.02
107000, 0.00357, 0.02
108000, 0.00370, 0.02
109000, 0.00361, 0.02
110000, 0.00350, 0.02
111000, 0.00365, 0.02
112000, 0.00343, 0.02
113000, 0.00353, 0.02
114000, 0.00364, 0.02
115000, 0.00346, 0.02
116000, 0.00351, 0.02
117000, 0.00348, 0.02
118000, 0.00351, 0.02
119000, 0.00351, 0.02
120000, 0.00356, 0.02
121000, 0.00351, 0.02
122000, 0.00362, 0.02
123000, 0.00335, 0.02
124000, 0.00354, 0.02
125000, 0.00349, 0.02
126000, 0.00348, 0.02
127000, 0.00336, 0.02
128000, 0.00330, 0.02
129000, 0.00347, 0.02
130000, 0.00341, 0.02
131000, 0.00335, 0.02
132000, 0.00340, 0.02
133000, 0.00327, 0.02
134000, 0.00331, 0.02
135000, 0.00327, 0.02
136000, 0.00335, 0.02
137000, 0.00328, 0.02
138000, 0.00330, 0.02
139000, 0.00326, 0.02
140000, 0.00327, 0.02
141000, 0.00314, 0.02
142000, 0.00314, 0.02
